requested_work_id,award_position,award_openalex_id,award_display_name,funder_award_id,funder_openalex_id,funder_display_name,award_doi
W4293085752,6,G2027002873,NNCI: Center for Nanoscale Systems (CNS),2025158,F4320306076,National Science Foundation,
W4293085752,7,G3180581135,,1838976,F4320337392,"Division of Electrical, Communications and Cyber Systems",
W4293085752,8,G3311699245,Center for Integrated Quantum Materials,1231319,F4320306076,National Science Foundation,
W4293085752,9,G3431638231,,W911NF1810432,F4320338279,Air Force Office of Scientific Research,
W4293085752,10,G3582326853,,W911NF1810432,F4320333591,Multidisciplinary University Research Initiative,
W4293085752,11,G36446433,,FA9550-20-1,F4320338279,Air Force Office of Scientific Research,
W4293085752,12,G3908502130,,N00014-20-1-2425,F4320337345,Office of Naval Research,
W4293085752,13,G3998252677,,N00014-15-1-2761,F4320337345,Office of Naval Research,
W4293085752,14,G5569641376,,FA9550-20-1-0105,F4320338279,Air Force Office of Scientific Research,
W4293085752,15,G5729145195,,FA9550-20,F4320338279,Air Force Office of Scientific Research,
W4293085752,16,G5734303726,,ECCS-1838976,F4320337392,"Division of Electrical, Communications and Cyber Systems",
W4293085752,17,G6075373719,,DMR-1231319,F4320306084,U.S. Department of Energy,
W4293085752,18,G6098521345,,FA9550,F4320337345,Office of Naval Research,
W4293085752,19,G695208427,Coherent Optomechanical and Hyperfine interactions Engineering with Silicon-Vacancy impurities in diamond for quantum networks,840968,F4320338337,H2020 Marie Skłodowska-Curie Actions,
W4293085752,20,G6987858779,"RAISE: TAQS: Engineering high quality, practical qubits in diamond",1838976,F4320306076,National Science Foundation,
W4293085752,21,G7444832178,,EEC-1941583,F4320306084,U.S. Department of Energy,
W4293085752,22,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4293085752,23,G8640644076,,DMR-12313 19,F4320306076,National Science Foundation,
W4293085752,24,G875209366,,DMR-1231319,F4320337367,Division of Materials Research,
W4293085752,25,G8876996369,,N00014,F4320337345,Office of Naval Research,
W4366519842,1,G1285306620,,SC0012704,F4320338289,Brookhaven National Laboratory,
W4366519842,2,G1847291448,,DE- SC0012704,F4320337480,Basic Energy Sciences,
W4366519842,3,G241279073,,DE‐SC0012704,F4320306084,U.S. Department of Energy,
W4366519842,4,G3262563802,,DE- SC0012704,F4320338289,Brookhaven National Laboratory,
W4366519842,5,G357145406,,DE-SC-0012704,F4320332359,Office of Science,
W4366519842,6,G5765906131,,SC0012704.,F4320306084,U.S. Department of Energy,
W4366519842,7,G6965541988,,SC0012704,F4320337480,Basic Energy Sciences,
W4366519842,8,G7463374569,,SC0012704,F4320332359,Office of Science,
W4366519842,9,G872144517,,DE-SC0012704,F4320306076,National Science Foundation,
W4313814437,1,G758210746,,D18AC00014,F4320332180,Defense Advanced Research Projects Agency,
W4378904229,1,G87932940,,EP/T001011/1,F4320334627,Engineering and Physical Sciences Research Council,
W4390929033,1,G1396759388,,ECCS102137723,F4320337392,"Division of Electrical, Communications and Cyber Systems",
W4393207125,1,G1668112243,,JPMJMS226C,F4320338247,Moonshot Research and Development Program,
W4393207125,2,G1693287877,,PPS2007,F4320314237,Rijksdienst voor Ondernemend Nederland,
