requested_work_id,award_position,award_openalex_id,award_display_name,funder_award_id,funder_openalex_id,funder_display_name,award_doi
W4387253080,15,G909421429,"Photon-photon and spin-spin Entanglement using Diamond-based impurity Elements: Silicon, Tin And Lead",884745,F4320338335,H2020 European Research Council,
W4387544196,1,G8222963720,,62271434,F4320321001,National Natural Science Foundation of China,
W4387544196,2,G8843817667,,W911NF-23-1-0088,F4320338281,Army Research Office,
W4385094095,1,G3729718828,,DNRF139,F4320320943,Danmarks Grundforskningsfond,
W4385094095,2,G6256534707,,824140,F4320332999,Horizon 2020 Framework Programme,
W4385094095,3,G7781592127,,FETPROACT-01-2018,F4320332999,Horizon 2020 Framework Programme,
W4391024070,1,G1215933255,,W911NF-23-1-0235,F4320338279,Air Force Office of Scientific Research,
W4391024070,2,G1639952346,,1231319,F4320337367,Division of Materials Research,
W4391024070,3,G1799408541,,EEC-1941583,F4320338279,Air Force Office of Scientific Research,
W4391024070,4,G2183085053,,840968,F4320338281,Army Research Office,
W4391024070,5,G2919862584,,840968,F4320306076,National Science Foundation,
W4391024070,6,G3311699245,Center for Integrated Quantum Materials,1231319,F4320306076,National Science Foundation,
W4391024070,7,G3908502130,,N00014-20-1-2425,F4320337345,Office of Naval Research,
W4391024070,8,G434337789,,HORIZON2020,F4320320300,European Commission,
W4391024070,9,G468436599,,840968,F4320338279,Air Force Office of Scientific Research,
W4391024070,10,G475327532,,840968,F4320337345,Office of Naval Research,
W4391024070,11,G695208427,Coherent Optomechanical and Hyperfine interactions Engineering with Silicon-Vacancy impurities in diamond for quantum networks,840968,F4320338337,H2020 Marie Skłodowska-Curie Actions,
