"ua_author_names","n"
"Guo‐Yue Niu",8
"Haeun Chung",8
"Hee-Jeong Kim",8
"Janet L. Funk",8
"Janko Nikolich‐Žugich",8
"Jaroslav Janda",8
"Jekan Thangavelautham",8
"Jennifer B. Frye",8
"Jennifer K. Barton",8
"Jiabin Chen",8
"Jian Liu",8
"John Ehiri",8
"Kanu Sinha",8
"Kyle M. Hanquist",8
"Kátia Cunha",8
"Liya Yin",8
"Ludwik Adamowicz",8
"Madeline Ally",8
"Majid Beidaghi",8
"Mark L. Brusseau",8
"Melissa M. Herbst‐Kralovetz",8
"Pengyuan Liu",8
"Roberta Diaz Brinton",8
"Ryan N. Gutenkunst",8
"Saied Md Pratik",8
"Sanlyn Buxner",8
"Scott E. Klewer",8
"Scott French",8
"Sorabh Sharma",8
"Terry A. Badger",8
"Tyler D. Robinson",8
"Weizhe Liu",8
"Xiaoxiao Sun",8
"Yann C. Klimentidis",8
"Zhao Chen",8
"Adriana A. Zúñiga-Terán",7
"Alma Jukic",7
"Amy C. Kelly",7
"Andrea Achilli",7
"Aniket Gupta",7
"Anthony Bosco",7
"Ashley A. Lowe",7
"Audrey L. Spencer",7
"Beeletsega Yeneneh",7
"Bettina F. Cuneo",7
"Bo Yang",7
"Brandon D. Chalifoux",7
"Charles W. Putnam",7
"Chris Impey",7
"Chris Segrin",7
"Christina Colosimo",7
"Christopher H. Le",7
"Courtney J. Duchardt",7
"Dalziel J. Wilson",7
"Dario Copetti",7
"David A. Baltrus",7
"David Ball",7
"Donald A. Falk",7
"Duke Pauli",7
"Erdogan Madenci",7
"Eung‐Joo Lee",7
"Evan L. MacLean",7
"Felicia Goodrum",7
"H. Alyson Ford",7
"Heidi E. Brown",7
"Hoshin V. Gupta",7
"Huayu Li",7
"James A. Threadgill",7
"James Kelbert",7
"Jennifer C. McIntosh",7
"Ji Hong",7
"Jill Castek",7
"Juan Chipollini",7
"Karen L. Weihs",7
"Kenry Kenry",7
"Klearchos K. Papas",7
"Ladd Keith",7
"Lars R. Furenlid",7
"M. Vestergaard",7
"Marcia Rieke",7
"Mark Nichter",7
"Martin Schlecker",7
"Melissa Flores",7
"Meredith Kupinski",7
"Michael T. Marty",7
"Michael W. Topping",7
"Mihailo M. Martinović",7
"Mohab Ibrahim",7
"Mohammad Amin Mirrezaei",7
"Monica Kraft",7
"Nancy A. Álvarez",7
"Pierre Haenecour",7
"Qiongzi Qiu",7
"Rain Wuyu Liu",7
"Richard J. Simpson",7
"Rod A. Wing",7
"Sarah Yeo",7
"Scott Silvestry",7
"Serhan Gener",7
"Shang Gao",7
"Shanna Hamilton",7
"Summan Zahra",7
"Vasiliki Karanikola",7
"Vipender Singh Negi",7
"Yang Sun",7
"Yihan Wang",7
"Yong Ge",7
"Yong Liu",7
"Yu-Zheng Lin",7
"Yves Carrière",7
"Zack Guido",7
"Zhiming Zhong",7
"ANDERSON PAULO DE PAIVA",6
"Adam Nelson",6
"Adina Greene",6
"Akshay Amaraneni",6
"Ali Bilgin",6
"Andrea D’Ambrosio",6
"Anthony Rossi",6
"Arthur C. Nelson",6
"Benjamen M. Meyer",6
"Bernardo Lemos",6
"Bo Guo",6
"Boris Benedikter",6
"Boris Georgiev",6
"Byeongjoon Jeong",6
"Caitlyn Hall",6
"Caroline Machado Kopruszinski",6
"Chen X. Chen",6
"Coen A. C. Ottenheijm",6
"Craig Weinkauf",6
"Daijiang Li",6
"Daniel Soh",6
"Dave Kim",6
"David M. Meko",6
"Dániel Apai",6
"Ebenezer N. Yamoah",6
"Elsayed Ahmed Elsadek",6
"Enkhtsogt Sainbayar",6
"Farouk Mookadam",6
"Feige Wang",6
"Fengwu Sun",6
"Frank A. von Hippel",6
"Frank C. Brosius",6
"Gabriel M. Moulatlet",6
"Georg A. Hishaw",6
"Giovanna Muscogiuri",6
"H. Umut Suluhan",6
"Hong Li",6
"Ilknur Telkes",6
"J. C. Andrews‐Hanna",6
"J. W. Holt",6
"Jacqueline Leete",6
"Jason Kirk",6
"Jeffrey Pyun",6
"Jeniveve Pearson",6
"Jing Wu",6
"Jochen Gohlke",6
"John L. Koprowski",6
"John P. Konhilas",6
"José Arnaldo Barra Montevechi",6
"Judith A. Berg",6
"Junaid Arshad",6
"Justin M. Snider",6
"Kai Lepley",6
"Kaitlin M. Kratter",6
"Kaneez Zahra Rubab Khakwani",6
"Kenneth R. Wilund",6
"Kerri L. Hickenbottom",6
"Kevin C.J. Yuen",6
"Kimberly M. Wood",6
"Kristen Pogreba-Brown",6
"Kymberly Henderson-Arredondo",6
"L. M. Ziurys",6
"Laura E. Condon",6
"Ludovica Verde",6
"Marcus N. Gomes",6
"Margaret E. K. Evans",6
"Mark C. Phillips",6
"Marwan Krunz",6
"Matheus Brendon Francisco",6
"Matthew A. Kupinski",6
"Michael D. Dake",6
"Michael D. McKee",6
"Midhat Patel",6
"Miguel Ricardo A. Hilario",6
"Ming Li",6
"Mónica D. Ramírez‐Andreotta",6
"Nan‐kuei Chen",6
"Niloofar Dehghan",6
"Peter G. DeCelles",6
"Qizhi Chen",6
"Rafael de Carvalho Miranda",6
"Robert Hibberd",6
"Roderick Tung",6
"Romir Parmar",6
"Ruilin You",6
"Sahand Motameni",6
"Sammy Tin",6
"Samy Missoum",6
"Sandra Miranda Neves",6
"Schuyler Wolff",6
"Scott C. Carvajal",6
"Shea M. Lambert",6
"Srikar Adhikari",6
"Stephanie A. Boone",6
"Stephen A. Rains",6
"Steven D. Schwartz",6
"Sujan Ghimire",6
"Suzanne Gorovoy",6
"Todd W. Vanderah",6
"Tyler Swanson",6
"V. Faramaz-Gorka",6
"Valeria Pfeifer",6
"Vance T. Holliday",6
"Vasileios Paschalidis",6
"Vignesh Subbian",6
"Xiaojing Lin",6
"Xiquan Dong",6
"Yushi Kaneda",6
"Zachary D. Cohen",6
"Zaynab Hourani",6
"Zhijie Zhang",6
"Zicheng Cheng",6
"Aafaque R. Khan",5
"Adriana Maldonado",5
"Adrienne R. Brown",5
"Ahmed Abdalla Ahmed Elkamel",5
"Ahmet Günkan",5
"Akash Gupta",5
"Allison J. Huff",5
"Amber D Rice",5
"Amr S. Abdelfattah",5
"Ananya Mallik",5
"Anastasia Kunac",5
"Andrei V. Alexandrov",5
"Andrew Bennett",5
"Antranik A. Sefilian",5
"Ao Li",5
"Arvinder Sandhu",5
"Austin Thompson",5
"Baike Xi",5
"Betsy C. Wertheim",5
