display_name,a_number,csv_institution,verification
Lawrence J. Mandarino,A5089720468,UA,✓ VERIFIED | Name: Lawrence J. Mandarino | Works: 282 | Last Known Affiliation: University of Arizona
Klearchos K. Papas,A5031755211,UA,✓ VERIFIED | Name: Klearchos K. Papas | Works: 196 | Last Known Affiliation: University of Arizona
Michelle M. Perfect,A5054701184,UA,✓ VERIFIED | Name: Michelle M. Perfect | Works: 102 | Last Known Affiliation: University of Arizona
John G. Purdy,A5011283600,UA,✓ VERIFIED | Name: John G. Purdy | Works: 59 | Last Known Affiliation: University of Arizona
Benjamin J. Renquist,A5081324818,UA,✓ VERIFIED | Name: Benjamin J. Renquist | Works: 48 | Last Known Affiliation: University of Arizona
Marvin J. Slepian,A5070730048,UA,✓ VERIFIED | Name: Marvin J. Slepian | Works: 326 | Last Known Affiliation: University of Arizona; Accelerated Medical Diagnostics (United States)
Ashley J. Snider,A5071695255,UA,✓ VERIFIED | Name: Ashley J. Snider | Works: 79 | Last Known Affiliation: University of Arizona; Department of Physiological Sciences; University of Arizona Cancer Center
Jennifer H. Stern,A5036642928,UA,✓ VERIFIED | Name: Jennifer H. Stern | Works: 33 | Last Known Affiliation: University of Arizona
Patricia A. Thompson,A5000845552,UA,✓ VERIFIED | Name: Patricia A. Thompson | Works: 451 | Last Known Affiliation: University of Arizona
Jason A. Wertheim,A5002997505,UA,✓ VERIFIED | Name: Jason A. Wertheim | Works: 118 | Last Known Affiliation: University of Arizona; Southern Arizona VA Health Care System
Yanqiao Zhang,A5101914506,UA,✓ VERIFIED | Name: Yanqiao Zhang | Works: 68 | Last Known Affiliation: University of Arizona; University of Phoenix; Arizona Research Center
Jin Zhou,A5101487500,UA,"✓ VERIFIED | Name: Jin Zhou | Works: 335 | Last Known Affiliation: American Petroleum Institute; University of Arizona; Chongqing Technology and Business University; Chongqing University; University of California, Los Angeles; Hunan University; Chongqing University of Science and Technology; City University of Hong Kong; Wuhan University; Petroleum Technology Company (Norway); Nanjing Polytechnic Institute; Charles R. Drew University of Medicine and Science; Nanjing University; Nanjing University of Aeronautics and Astronautics"
Wei Zhou,A5100640843,UA,✓ VERIFIED | Name: Wei Zhou | Works: 170 | Last Known Affiliation: University of Arizona; Nanchang University; First Affiliated Hospital of Jiangxi Medical College; Second Affiliated Hospital of Nanchang University; Southeast University
Ling He,A5101037979,UA - PHX,✓ VERIFIED | Name: Ling He | Works: 84 | Last Known Affiliation: University of Arizona; Johns Hopkins University; University of Phoenix; Daiichi Sankyo (United Kingdom); Daiichi Sankyo (United States); Shandong Agricultural University
Fredric E. Wondisford,A5049313563,UA - PHX,✓ VERIFIED | Name: Fredric E. Wondisford | Works: 242 | Last Known Affiliation: University of Arizona
Liya Yin,A5045587465,UA - PHX,✓ VERIFIED | Name: Liya Yin | Works: 164 | Last Known Affiliation: University of Arizona; University of Phoenix; Arizona Research Center; Phoenix College
Li X,A5041607266,UA- PHX,"✓ VERIFIED | Name: Li X | Works: 2171 | Last Known Affiliation: Kunming University of Science and Technology; Chinese Academy of Tropical Agricultural Sciences; Qingdao University; Ningbo University; Shenyang Medical College; Hebei Medical University; Macau University of Science and Technology; Jiangsu University; Tongji University; Weifang Medical University; Guangzhou University of Chinese Medicine; Liaoning University; Central South University of Forestry and Technology; Electric Power University; Beijing Institute of Technology; University of Science and Technology of China; Eastern Institute of Technology; Brigham and Women's Hospital; Zhejiang A & F University; Beijing Tongren Hospital; Fujian Medical University; National Park Service; Naval Medical Research Command; Nanjing University of Chinese Medicine; Union Hospital; Tianjin University of Science and Technology; Zhongyuan University of Technology; Ministry of Education of the People's Republic of China; Texas Medical Center; Shanghai Medical College of Fudan University; Shenyang Agricultural University; Harvard University; Tianjin University of Technology; North China University of Science and Technology; University of Arizona; Central South University; Capital University; University of British Columbia; Anhui University; Johns Hopkins University; Kunming University; Wenzhou University; Xi'an University of Architecture and Technology; University of Electronic Science and Technology of China; Guangxi University; Army Medical University; Qilu University of Technology; North China Electric Power University; Xinjiang Medical University; Shandong University; Harbin Medical University; Sun Yat-sen University; Guangxi Medical University; Henan University of Traditional Chinese Medicine; China Pharmaceutical University; Tianjin University; Hangzhou Normal University; Hohai University; Hefei University of Technology; Hunan University; Xinjiang Agricultural University; Nanjing Forestry University; Zhejiang University of Science and Technology; Hebei North University; MRC Laboratory of Molecular Biology; Northwestern Polytechnical University; State Grid Corporation of China (China); Shanxi Medical University; Chinese University of Hong Kong; Second Military Medical University; Dalian Institute of Chemical Physics; Shenzhen University; Shanxi University; Zunyi Medical University; Shanghai Jiao Tong University; Capital Medical University; Chinese Center For Disease Control and Prevention; Kunming Institute of Zoology; Yunnan University; Guangdong Pharmaceutical University; Xiamen University; Dalian Medical University; Jilin University; Wuhan University of Technology; Anhui Medical University; Chinese Academy of Sciences; Chinese Academy of Medical Sciences & Peking Union Medical College; Hong Kong University of Science and Technology; Guangdong University Of Finances and Economics; Peking University; University of Macau; China University of Petroleum, Beijing; Huazhong Agricultural University; Harbin Institute of Technology; Nankai University; Trinity College Dublin; Cornell University; Hainan University; Shanghai Normal University; Lanzhou University of Technology; Zhengzhou University of Light Industry; Sichuan University; Fudan University; Beijing Normal University; China University of Mining and Technology; Kunming Medical University; National Health and Family Planning Commission; Dalian University of Technology; Bay Institute; State Administration of Traditional Chinese Medicine of the People's Republic of China; Center for Plant Conservation; Dongguan University of Technology; Johns Hopkins Medicine; Laboratoire de physique des Solides; Tianjin First Center Hospital; China Tobacco; Renji Hospital; Thailand National Metal and Materials Technology Center; Xinjiang Astronomical Observatory; Kidney Research UK; Peking Union Medical College Hospital; China Academy of Engineering Physics; Prince Philip Dental Hospital; China Railway Corporation; Mitchell Institute; Guangzhou Institutes of Biomedicine and Health; Sir Run Run Shaw Hospital; China Rehabilitation Research Center; Academy of Military Medical Sciences; Shanghai Chest Hospital; Hefei Institutes of Physical Science; Shanghai Mental Health Center; First Affiliated Hospital of Xinjiang Medical University; Jackson Memorial Hospital; University of Mississippi Medical Center; Yuhuangding Hospital; Center for Theoretical Physics; Abbott (United Kingdom); Suzhou University of Science and Technology; China University of Geosciences (Beijing); University Town of Shenzhen; Westlake University; Lanzhou Jiaotong University; Chengdu University of Technology; Beijing Forestry University; Guangdong Polytechnic of Science and Technology; University of Jinan; Nanjing University of Science and Technology; Wuhan University; Sichuan Agricultural University; Beijing University of Technology; Northwest University; Zhengzhou University; Soochow University; University of Illinois Chicago; University of Chicago; China International Science and Technology Cooperation; Alibaba Group (Cayman Islands); Beijing Tian Tan Hospital; Henan University Huaihe Hospital and Huaihe Clinical Institute; Nanjing Institute of Vegetable Science; Massachusetts General Hospital; Third Hospital of Hebei Medical University; Gansu Academy of Sciences; Beijing Microelectronics Technology Institute; West China Second University Hospital of Sichuan University; Lanzhou Institute of Chemical Physics; National Cancer Center; National Clinical Research Center for Digestive Diseases; Institute of Hydrobiology; Environment and Plant Protection Research Institute; West China Hospital of Sichuan University; Institute of Computing Technology; Institute of Microelectronics; Shaanxi Provincial People's Hospital; State Key Laboratory of Pollution Control and Resource Reuse; Ministry of Agriculture; Second Affiliated Hospital of Guangzhou Medical University; Joint Laboratory for Extreme Conditions Matter Properties; Lanzhou Veterinary Research Institute; Jinan Maternity And Care Hospital; Institute of Experimental Physics of the Slovak Academy of Sciences; Henan Academy of Sciences; Zhengzhou University of Science and Technology; State Key Laboratory on Integrated Optoelectronics; China Institute of Water Resources and Hydropower Research; Third Affiliated Hospital of Guangzhou Medical University; Daping Hospital; Suzhou Institute of Nano-tech and Nano-bionics; Suzhou Institute of Biomedical Engineering and Technology; Institute of Catalysis and Petrochemistry; Changchun Institute of Applied Chemistry; Dalian University; Fudan University Shanghai Cancer Center; Sixth Affiliated Hospital of Sun Yat-sen University; Tianjin Nankai Hospital; National Time Service Center; Peking University Cancer Hospital; Taizhou Second People's Hospital; Tobacco Research Institute; Research Institute of Tropical Forestry; Ministry of Education; Poultry Research Institute; Specialty Materials (United States); Tianjin Tianhe Hospital; Shanghai Institute of Nutrition and Health; Xinjiang Uygur Autonomous Region Disease Prevention and Control Center; The Seventh Affiliated Hospital of Sun Yat-sen University; Institute of Ecology and Geography; Shandong Management University; Sun Yat-sen Memorial Hospital; Second Affiliated Hospital of Chongqing Medical University; Guangxi Science and Technology Department; Institute of Plant Protection; Key Laboratory of Guangdong Province; Integrated Optoelectronics (Norway); Coconut Research Institute; First Affiliated Hospital of Guangzhou Medical University; Wuhan Institute of Physics and Mathematics; Second Hospital of Hebei Medical University; Ministry of Housing and Urban-Rural Development; Fourth People’s Hospital of Jinan; Jangan University; Shandong Tumor Hospital; Second Affiliated Hospital of Dalian Medical University; Shangluo University; Institute of Oceanology; Northeast Institute of Geography and Agroecology; Minhang District Central Hospital; Ningbo No. 2 Hospital; Fifth Tianjin Central Hospital; Tianjin Centers for Disease Control and Prevention; Jilin Vocational College of Industry and Technology; Jiangyin People's Hospital; Guangzhou Blood Center; Xinjiang Institute of Ecology and Geography; Tianjin Infectious Diseases Hospital; Institute of Soil and Water Conservation; Hefei National Center for Physical Sciences at Nanoscale; Third Affiliated Hospital of Harbin Medical University; Second Hospital of Shandong University; Tianjin Institute of Pharmaceutical Research (China); 302 Military Hospital of China; Capital Institute of Pediatrics; Huzhou Central Hospital; Guangzhou Women and Children Medical Center; Institute of Geodesy and Geophysics; Southern Marine Science and Engineering Guangdong Laboratory (Guangzhou); Zhejiang Energy Research Institute; Fourth Hospital of Hebei Medical University; Northwest Institute of Eco-Environment and Resources; Shanghai Public Health Clinical Center; Wuhan Institute of Virology; State Key Laboratory of Transducer Technology; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality; Zhengzhou Children's Hospital; Yantai Institute of Coastal Zone Research; Biology of Infection; Institute of Agricultural Resources and Regional Planning; Analysis and Testing Centre; Methodist Hospital; Jilin City Central Hospital; Zhengzhou City Hospital; Shandong Transportation Research Institute; Institute of Applied Technology; China Energy Engineering Corporation (China); Washington Poison Center; Ministry of Agriculture; Ministry of Education; National College; Xian Mental Health Center; Chinese Academy of Medical Sciences Dermatology Hospital; Cell Technology (China); Shanghai Advanced Research Institute; Shanghai Institute of Materia Medica; Shanghai Institute of Organic Chemistry; Sino-Danish Centre for Education and Research; Fifth Affiliated Hospital of Sun Yat-sen University; Gannan Medical University; Second Affiliated Hospital of Zhengzhou University; Qingdao National Laboratory for Marine Science and Technology; Tsinghua–Berkeley Shenzhen Institute; Shanghai Zhangjiang Laboratory; Yuntianhua Group (China); Xingtai People's Hospital; Ingenierie des Materiaux polymeres; Hunan Cancer Hospital; Chinese Institute for Brain Research; Changhai Hospital; Beijing National Laboratory for Molecular Sciences; Xinjiang Academy of Agricultural Sciences; Shandong Provincial Hospital; Guangzhou First People's Hospital; Institute of Agro-Products Processing Science and Technology; Hunan Nonferrous Metal Research Institute; Affiliated Hospital of Qingdao University; Chinese University of Hong Kong, Shenzhen; Third People 's Hospital of Chongqing; Institute for Clinical Pharmacodynamics (United States); State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing; Fujian Institute of Research on the Structure of Matter; Institute of Microelectronics; East China University of Technology; Zhejiang Hospital; Qingdao Municipal Hospital; First Affiliated Hospital of Kunming Medical University; Center for Excellence in Molecular Cell Science; First Affiliated Hospital of Xi'an Jiaotong University; Ministry of Agriculture; Fourth Affiliated Hospital of Harbin Medical University; Microbiology Institute of Shaanxi; Research Institute of Resource Insects; Lanzhou University Second Hospital; Institute of Genetics and Developmental Biology; Medical Plus; Peking University People's Hospital; National Engineering Research Center of Electromagnetic Radiation Control Materials; Zhongshan Hospital of Xiamen University; Helmholtz Centre for Infection Research; Second Affiliated Hospital of Soochow University; First Hospital of Jilin University; Chengdu University; Hubei Zhongshan Hospital; Yunnan Academy of Agricultural Sciences; First Hospital of Shanxi Medical University; Institute of Geology and Geophysics; Wangjing Hospital of China Academy of Chinese Medical Sciences; International Society of Automation; National Clinical Research; ZheJiang Academy of Agricultural Sciences; Zhongshan Hospital; Ministry of Transport; Pudong Medical Center; Guangzhou Institute of Energy Conversion; Chinese Academy of Forestry; Institute of Software; The First Affiliated Hospital, Sun Yat-sen University; The Affiliated Yongchuan Hospital of Chongqing Medical University; Detector Technology (United States); Frederick National Laboratory for Cancer Research; Xinjiang Uygur Autonomous Region Uygur Medicine Hospital; Peking University First Hospital; Zhejiang Provincial People's Hospital; Southwest Hospital; Institute of Modern Physics; Shanghai Meteorological Bureau; Ministry of Agriculture; Institute of Psychology, Chinese Academy of Sciences; Agro-Environmental Protection Institute; Hunan Children's Hospital; Second Affiliated Hospital of Harbin Medical University; Stomatology Hospital; Wuxi Ninth People's Hospital; Chengdu Second People's Hospital; Second Hospital of Tianjin Medical University; Beijing Institute of Nanoenergy and Nanosystems; Key Laboratory of Nuclear Radiation and Nuclear Energy Technology; Second Hospital of Shanxi Medical University; Anhui Institute of Optics and Fine Mechanics; Suzhou Traditional Chinese Medicine Hospital; State Forestry and Grassland Administration; First Affiliated Hospital of Henan University of Science and Technology; Quality Research; Shanghai Institute of Optics and Fine Mechanics; Chongqing Emergency Medical Center; Institute of Geochemistry; Zhejiang Center for Disease Control and Prevention; Jilin Medical University; First Affiliated Hospital of Anhui Medical University; Peng Cheng Laboratory; Aerospace Information Research Institute; Drug Discovery Laboratory (Norway); Dalian National Laboratory for Clean Energy; Institute for Advanced Study; Tianjin Meteorological Bureau; Wuhan National Laboratory for Optoelectronics; Chinese Academy of Agricultural Sciences; Yunnan Provincial Department of Education; Guangzhou Psychiatric Hospital; Tianjin Institute of Industrial Biotechnology; Research Institute of Wood Industry; Research Institute of Highway; Shanghai Academy of Agricultural Sciences; Center for Excellence in Molecular Plant Sciences; Jinan Stomatological Hospital; Renmin Hospital of Wuhan University; Institute of Rock and Soil Mechanics; Collaborative Innovation Center of Advanced Microstructures; First Hospital of China Medical University; Chinese National Engineering Research Center for Control and Treatment of Heavy Metal Pollution; First Affiliated Hospital of Dalian Medical University; Terrestrial Ecosystem Research Network; Frequency Therapeutics (United States); Institute of Tibetan Plateau Research; National Center for Nanoscience and Technology; China Academy of Chinese Medical Sciences; Peking University Third Hospital; Campo Arqueologico de Mertola; Second Affiliated Hospital of Jilin University; Institut National de la Recherche Agronomique de Tunisie; Shandong Academy of Sciences; Lanzhou Nonferrous Metals Design and Research Institute (China); Unité Matériaux et Transformations; Fujian Institute of Subtropical Botany; Sinomach (China); Center for Excellence in Tibetan Plateau Earth Sciences; Research Center for Eco-Environmental Sciences; Shanghai Sixth People's Hospital; Xi'an Institute of Optics and Precision Mechanics; First Affiliated Hospital of Henan University of Traditional Chinese Medicine; Shenzhen Institutes of Advanced Technology; Tianjin Medical University Eye Hospital; Suzhou Vocational Health College; Guang’anmen Hospital; Institute of Molecular Medicine; Sun Yat-sen University Cancer Center; Third Affiliated Hospital of Sun Yat-sen University; Shanghai Institute of Microsystem and Information Technology; Beijing Friendship Hospital; Institute of Hematology & Blood Diseases Hospital; Wenzhou Institute of Industrial Science; Institute of Apiculture Research; Hangzhou First People's Hospital; Sanya University; Feed Research Institute; Shanxi Fenyang Hospital; Institute of Animal Sciences; Guangdong University of Finance; Center for Cancer Research; Tea Research Institute; Tianjin Chest Hospital; Center of Hubei Cooperative Innovation for Emissions Trading System; Beijing Ditan Hospital; Lithium Power (United States); Ministry of Education; Sansure Biotech (China); Academy of Opto-Electronics; Collaborative Innovation Center of Chemical Science and Engineering Tianjin; Sixth Affiliated Hospital of Xinjiang Medical University; Children's Hospital of Suzhou University; Shanghai Pudong New Area Gongli Hospital; High Throughput Biology (United States); Changzhou No.2 People's Hospital; Ministry of Agriculture and Rural Affairs; Jilin Agricultural University; Shenzhen Technology University; Institute of Atmospheric Physics; Chengdu Institute of Biology; China Nonferrous Metals Changsha Investigation Design Institute; Changzhou University; Union Hospital; First Affiliated Hospital of Soochow University; Institute of Forest Ecology, Environment and Protection; Chongqing Public Health Medical Center; Second Xiangya Hospital of Central South University; Institute of Solid State Physics; Changzhou Third People's Hospital; Yunnan Provincial Department of Transportation; State Key Laboratory of Respiratory Disease; Ministry of Water Resources of the People's Republic of China; National Institutes of Health Clinical Center; Chinese Research Academy of Environmental Sciences; Institute of Information Engineering; First Affiliated Hospital of Harbin Medical University; Shandong Maternal and Child Health Hospital; Collaborative Innovation Center of Chemistry for Energy Materials; First Affiliated Hospital of Zhengzhou University; Third Xiangya Hospital; Shanghai Clinical Research Center; NAURA (China); Yellow River Institute of Hydraulic Research; Institute of Crop Sciences; Second Affiliated Hospital of Zhejiang University; G. K. Skryabin Institute of Biochemistry and Physiology of Microorganisms; Shanxi Academy of Medical Sciences; Xijing Hospital; Children's Hospital of Fudan University; Children's Hospital of Chongqing Medical University; Huashan Hospital; Xiangya Hospital Central South University; Institute of Physics; Institute of Coal Chemistry; Tongji Hospital; Center for Life Sciences; China National Rice Research Institute; Kementerian Pendidikan Malaysia; Shanxi Provincial People’s Hospital; National Institute of Mental Health; Ministry of Agriculture; Qingdao Center of Resource Chemistry and New Materials; Liaoning Cancer Hospital & Institute; Jiangsu Education Department; Qilu Hospital of Shandong University; Fu Wai Hospital; Jiangsu Provincial Hospital of Traditional Chinese Medicine; China University of Petroleum, East China; Jinan City People's Hospital; Peking University Sixth Hospital; Guangdong 999 Brain Hospital; Henan Institute of Science and Technology; Shandong First Medical University; First Hospital of Lanzhou University; Sichuan Academy of Agricultural Sciences; Union Hospital; Shanghai Center for Brain Science and Brain-Inspired Technology; Jilin International Studies University; Affiliated Hospital of Zunyi Medical College; Shenzhen Second People's Hospital; Department of Primary Industries; Beijing Chaoyang Emergency Medical Center; University of Chinese Academy of Sciences; Zhuhai Institute of Advanced Technology; The Fifth People’s Hospital of Suzhou; Ningbo Institute of Industrial Technology; Hangzhou Medical College; Chongqing Medical and Pharmaceutical College; State Key Laboratory of Remote Sensing Science; Food Research and Development Institute; First Affiliated Hospital Zhejiang University; Nano Carbon (Poland); Qingdao Women and Children's Hospital; Institute of Zoology; Shenyang University; Hebei University; PRG S&Tech (South Korea); Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai); State Key Laboratory of Medicinal Chemical Biology; State Key Laboratory of Electronic Thin Films and Integrated Devices; State Key Laboratory of Clean Energy Utilization; State Key Laboratory of Hydraulics and Mountain River Engineering; State Key Laboratory of Catalysis; State Key Laboratory of Biotherapy; National Laboratory of Solid State Microstructures; State Key Laboratory of Rare Earth Resources Utilization; State Key Laboratory of Supramolecular Structure and Materials; China National Heavy Machinery Research Institute Co., Ltd.; China Electric Power Research Institute; The Fourth Affiliated Hospital of Soochow University (Suzhou Dushu Lake Hospital); Laoshan Laboratory; University of Bergen; Shanghai Ocean University; Anhui Normal University; Taiyuan University of Science and Technology; Chinese Academy of Fishery Sciences; Bristol-Myers Squibb (Switzerland); Henan Agricultural University; Huazhong University of Science and Technology; China Agricultural University; Zhejiang University of Technology; Tianjin Medical University; Southern Medical University; Army Medical College; Ocean University of China; Sichuan University of Science and Engineering; California Environmental Protection Agency; Universitat de Barcelona; China Southern Power Grid (China); Hubei University; Zhejiang University; Lanzhou University; Yangzhou University; Hainan Medical University; Hainan Tropical Ocean University; Beihang University; Nanjing Medical University; Power Grid Corporation (India); Xi'an Jiaotong University; Chongqing Medical University; Nanjing University; Dalian Polytechnic University; Shaanxi Normal University; University of Hong Kong; Ministry of Industry and Information Technology; Northwest A&F University; Taiyuan University of Technology; Texas A&M University; China Medical University; Guangzhou Medical University; Xinjiang University; Tsinghua University; Air Force Medical University"
Frank C. Brosius,A5003676386,ASU,✓ VERIFIED | Name: Frank C. Brosius | Works: 245 | Last Known Affiliation: University of Arizona; University of Michigan
Ronadip R. Banerjee,A5066121781,UA,✓ VERIFIED | Name: Ronadip R. Banerjee | Works: 48 | Last Known Affiliation: University of Arizona
Elizabeth Reifsnider,A5050987084,ASU,✓ VERIFIED | Name: Elizabeth Reifsnider | Works: 156 | Last Known Affiliation: Dominion (United States); Old Dominion University
Jean M. Wilson,A5000573702,UA,✓ VERIFIED | Name: Jean M. Wilson | Works: 51 | Last Known Affiliation: Not listed
Melissa Chambers,A5001871630,UA - PHX,"✓ VERIFIED | Name: Melissa Chambers | Works: 31 | Last Known Affiliation: University of California, Los Angeles"
