"partners","num_papers"
"Centre de physique des particules de Marseille",19
"Chalmers University of Technology",19
"Humboldt-Universität zu Berlin",19
"Institut de Recherche sur les Lois Fondamentales de l'Univers",19
"Kavli Institute for Theoretical Sciences",19
"McMaster University",19
"Millennium Institute of Astrophysics",19
"Nanjing University",19
"Pitié-Salpêtrière Hospital",19
"Shanghai Astronomical Observatory",19
"Universitat Politècnica de Catalunya",19
"University of Calgary",19
"University of the Witwatersrand",19
"Astronomical Institute of the Slovak Academy of Sciences",18
"European Space Agency",18
"King Saud University",18
"Trinity College Dublin",18
"University of Bologna",18
"University of Liège",18
"École Polytechnique Fédérale de Lausanne",18
"ASTRO-3D",17
"AlbaNova",17
"Charité - Universitätsmedizin Berlin",17
"Excellence Cluster Origins",17
"Friedrich-Alexander-Universität Erlangen-Nürnberg",17
"Institut du Cerveau",17
"International Centre for Radio Astronomy Research",17
"Kavli Institute for the Physics and Mathematics of the Universe",17
"Netherlands Institute for Radio Astronomy",17
"Queen Mary University of London",17
"Technical University of Denmark",17
"The Graduate University for Advanced Studies, SOKENDAI",17
"University of Manitoba",17
"University of Padua",17
"University of Saskatchewan",17
"Université Claude Bernard Lyon 1",17
"Université Côte d'Azur",17
"Université de Montpellier",17
"Astronomical Observatory",16
"Laboratoire d’études spatiales et d’instrumentation en astrophysique",16
"Sejong University",16
"Tongji University",16
"Universidad de Guanajuato",16
"University of Concepción",16
"University of Southampton",16
"Zhejiang University",16
"Astrophysique, Instrumentation et Modélisation",15
"Atacama Large Millimeter Submillimeter Array",15
"Canadian Institute for Theoretical Astrophysics",15
"Guilan University of Medical Sciences",15
"Malmö University",15
"Max Planck Institute for Astrophysics",15
"Swinburne University of Technology",15
"UK Astronomy Technology Centre",15
"Universidad de Sonora",15
"University Medical Center Utrecht",15
"University of Lisbon",15
"University of Turin",15
"Yonsei University",15
"Astrobiology Center",14
"Friedrich Schiller University Jena",14
"Hamamatsu University School of Medicine",14
"Nagoya University",14
"National Institute for Astrophysics",14
"North West Agriculture and Forestry University",14
"Prince of Songkla University",14
"Queen's University",14
"Queen's University Belfast",14
"Rutgers Sexual and Reproductive Health and Rights",14
"Trieste Astronomical Observatory",14
"Universidade Federal do Rio Grande do Sul",14
"University of Münster",14
"University of Pisa",14
"University of Pretoria",14
"University of St Andrews",14
"University of Vienna",14
"Weizmann Institute of Science",14
"Amsterdam University Medical Centers",13
"Arcetri Astrophysical Observatory",13
"Ariel University",13
"Erasmus MC",13
"Imam Mohammad ibn Saud Islamic University",13
"Laboratoire Médiations",13
"Laboratoire d’Astrophysique de Marseille",13
"Masaryk University",13
"National Hospital for Neurology and Neurosurgery",13
"National Taiwan University",13
"Northwest A&F University",13
"Paderborn University",13
"Shahid Beheshti University of Medical Sciences",13
"Sichuan University",13
"Sun Yat-sen University",13
"Swiss Federal Institute for Forest, Snow and Landscape Research",13
"The University of Adelaide",13
"Universidade Estadual de Campinas (UNICAMP)",13
"University of Basel",13
"University of Haifa",13
"University of Leeds",13
"University of Southern Denmark",13
"University of Technology Sydney",13
"Université de Strasbourg",13
"Université de Versailles Saint-Quentin-en-Yvelines",13
"Astronomical Observatory of Rome",12
"Helmholtz Zentrum München",12
"Maastricht University",12
"National University Health System",12
"National University Hospital",12
"Purple Mountain Observatory",12
"Rawalpindi Medical University",12
"Tehran University of Medical Sciences",12
"Universidad de Santiago de Chile",12
"University Hospital Heidelberg",12
"University of Jordan",12
"University of Nottingham",12
"University of Oulu",12
"Université de Lorraine",12
"Université de Montréal",12
"Wageningen University & Research",12
"Central South University",11
"Centre for Addiction and Mental Health",11
"Chinese Academy of Agricultural Sciences",11
"Heidelberg Institute for Theoretical Studies",11
"Hokkaido University",11
"Hospital Universitário Gaffrée e Guinle",11
"Institut d'Astrophysique Spatiale",11
"Institute for Fundamental Physics of the Universe",11
"Institute of Space Science - INFLPR Subsidiary",11
"Jilin University",11
"King Abdullah University of Science and Technology",11
"Korea University of Science and Technology",11
"National Observatory",11
"Northumbria University",11
"Ocean University of China",11
"Seoul National University",11
"The Abdus Salam International Centre for Theoretical Physics (ICTP)",11
"Universidad Católica del Norte",11
"University of Auckland",11
"University of Belgrade",11
"University of Ibadan",11
"University of Malaya",11
"Universität Innsbruck",11
