id,display_name,display_name_alternatives,full_name,relevance_score,ids,orcid,works_count,cited_by_count,counts_by_year,2yr_mean_citedness,h_index,i10_index,last_known_institutions,topics,works_api_url,csv_institution
https://openalex.org/A5005631326,Scott C. Beeman,,Scott  C. Beeman,6337.5444,,https://orcid.org/0000-0001-6721-1185,79,1398,,0.9642857142857143,21,31,,,https://api.openalex.org/works?filter=author.id:A5005631326,ASU
https://openalex.org/A5000559212,Matthew P. Buman,,Matthew Paul Buman,35548.3,,https://orcid.org/0000-0002-5130-3162,312,23805,,1.206896551724138,59,153,,,https://api.openalex.org/works?filter=author.id:A5000559212,ASU
https://openalex.org/A5047947143,Ellen P. Green,,Ellen P. Green,2180.2114,,https://orcid.org/0000-0003-2643-984X,19,138,,1.6,6,5,,,https://api.openalex.org/works?filter=author.id:A5047947143,ASU
https://openalex.org/A5053124087,Rodney P. Joseph,,"Joseph, Rodney P.",6089.6465,,https://orcid.org/0000-0001-5162-7637,71,2018,,1.7058823529411764,23,33,,,https://api.openalex.org/works?filter=author.id:A5053124087,ASU
https://openalex.org/A5074138380,Christos S. Katsanos,,Christos S. Katsanos,13514.507,,https://orcid.org/0000-0003-3025-5752,109,3148,,4.833333333333333,22,39,,,https://api.openalex.org/works?filter=author.id:A5074138380,ASU
https://openalex.org/A5024956976,Min‐Hyun Kim,,Min-Hyun Kim,6087.8643,,https://orcid.org/0000-0001-5108-9816,38,1088,,1.4444444444444444,14,16,,,https://api.openalex.org/works?filter=author.id:A5024956976,ASU
https://openalex.org/A5035488966,Rosa Krajmalnik‐Brown,,Rosa Krajmalnik‐Brown,38511.26,,https://orcid.org/0000-0001-6064-3524,214,21994,,7.757575757575758,58,130,,,https://api.openalex.org/works?filter=author.id:A5035488966,ASU
https://openalex.org/A5046993686,Joshua LaBaer,,"LaBaer, Joshua",26325.135,,https://orcid.org/0000-0001-5788-9697,418,14344,,1.2058823529411764,56,161,,,https://api.openalex.org/works?filter=author.id:A5046993686,ASU
https://openalex.org/A5073812178,Linda J. Luecken,,LINDA J. LUECKEN,21139.75,,https://orcid.org/0000-0001-9383-1986,149,8832,,1.25,46,100,,,https://api.openalex.org/works?filter=author.id:A5073812178,ASU
https://openalex.org/A5028420772,Miyeko Mana,,Miyeko D. Mana,12019.404,,https://orcid.org/0000-0002-5516-4008,69,2909,,2.1818181818181817,17,22,,,https://api.openalex.org/works?filter=author.id:A5028420772,ASU
https://openalex.org/A5006639752,Eyitayo Omolara Owolabi,,Eyitayo Omolara Owolabi,10482.886,,https://orcid.org/0000-0001-5575-7842,79,1352,,1.1111111111111112,18,24,,,https://api.openalex.org/works?filter=author.id:A5006639752,ASU
https://openalex.org/A5066047427,Adewale L. Oyeyemi,,Adewale Lukman Oyeyemi,18385.604,,https://orcid.org/0000-0002-3737-2911,175,9188,,95.36,40,95,,,https://api.openalex.org/works?filter=author.id:A5066047427,ASU
https://openalex.org/A5013609965,Marisol Pérez,,Marisol Perez,7347.743,,https://orcid.org/0000-0002-0915-2145,129,3586,,1.75,33,69,,,https://api.openalex.org/works?filter=author.id:A5013609965,ASU
https://openalex.org/A5020059038,Gabriel Q. Shaibi,,GABRIEL Q. SHAIBI,12696.371,,https://orcid.org/0000-0002-6890-2903,210,5082,,1.6923076923076923,36,93,,,https://api.openalex.org/works?filter=author.id:A5020059038,ASU
https://openalex.org/A5053304698,Bing Si,,Bing Si,2151.2344,,https://orcid.org/0000-0002-2352-7230,39,202,,2.090909090909091,7,5,,,https://api.openalex.org/works?filter=author.id:A5053304698,ASU
https://openalex.org/A5008343733,Taichi A. Suzuki,,Taichi A. SUZUKI,7426.5483,,https://orcid.org/0000-0001-7800-8596,53,2185,,6.375,18,24,,,https://api.openalex.org/works?filter=author.id:A5008343733,ASU
